@relation w1

@attribute FARE numeric
@attribute SUCCESS {0,1}
@attribute SEATCLASS {1,2,3}
@attribute GUESTS {0,1,2,3,4,5,6,7,8}
@attribute AGE numeric
@attribute Male {0,1}
@attribute MARRIED {0,1}

@data
0,0,3,0,36,1,1
69.55,0,3,8,18,0,0
15.05,0,2,0,25,1,1
31.3875,0,3,4,9,1,0
39,1,2,2,1,1,0
22.025,1,3,0,4,0,0
50,0,1,0,25,1,1
15.5,1,3,1,33,0,1
26.55,1,1,0,45,1,1
15.5,0,3,1,40,1,1
7.8958,0,3,0,36,1,1
13,1,2,0,32,0,1
13,0,2,0,19,1,1
7.8542,1,3,1,19,0,0
26,1,2,1,3,1,0
27.7208,1,1,0,44,0,1
146.5208,1,1,0,58,0,0
7.75,0,3,0,25,1,1
8.4042,0,3,0,42,1,1
7.75,1,3,0,18,0,0
13,0,2,0,24,0,0
9.5,0,3,0,28,1,1
69.55,0,3,8,25,1,1
6.4958,0,3,0,34,1,1
7.225,0,3,0,45.5,1,1
8.05,1,3,0,18,1,1
10.4625,0,3,0,2,0,0
15.85,0,3,1,32,1,1
18.7875,1,3,0,26,1,1
7.75,1,3,0,16,0,0
31,1,1,0,40,1,1
7.05,0,3,0,24,1,1
21,1,2,0,35,0,0
7.25,0,3,0,22,1,1
13,0,2,0,30,1,1
7.75,0,3,1,25,1,1
113.275,1,1,1,31,0,0
7.925,1,3,0,27,0,0
27,0,2,1,42,1,1
76.2917,1,1,0,32,0,0
10.5,0,2,0,30,1,1
8.05,1,3,0,16,1,1
13,0,2,0,27,1,1
8.05,0,3,0,51,1,1
7.8958,0,3,0,25,1,1
90,1,1,1,38,1,1
9.35,0,3,0,22,1,1
10.5,1,2,0,19,1,1
7.25,0,3,0,20.5,1,1
13,0,2,0,18,1,1
25.4667,0,3,3,18,0,0
83.475,1,1,1,35,0,1
7.775,0,3,0,29,1,1
13.5,0,2,0,59,1,1
31.3875,1,3,4,5,0,0
10.5,0,2,0,24,1,1
7.55,0,3,0,18,0,0
26,0,2,1,44,1,1
26.25,1,2,0,8,0,0
10.5,0,2,0,19,1,1
12.275,0,2,0,33,1,1
14.4542,0,3,1,18,0,0
15.5,1,3,1,18,0,0
10.5,0,2,0,29,1,1
7.125,0,3,0,22,1,1
7.225,0,3,0,30,1,1
90,0,1,2,44,1,0
7.775,0,3,0,25,0,0
14.5,1,2,0,24,0,1
52.5542,1,1,1,37,1,1
26,0,2,1,54,1,0
7.25,0,3,0,25,1,1
10.4625,0,3,1,29,0,1
26.55,0,1,0,62,1,1
16.1,0,3,1,30,1,1
20.2125,0,3,0,41,0,1
15.2458,1,3,0,29,0,1
79.2,1,1,0,33,0,1
86.5,1,1,0,30,0,0
512.3292,1,1,0,35,0,0
26,1,2,0,50,0,1
7.75,0,3,0,25,1,1
31.3875,1,3,4,3,1,0
79.65,0,1,1,52,1,1
0,0,1,0,40,1,1
7.75,0,3,0,18,0,0
10.5,0,2,0,36,1,1
39.6875,0,3,4,16,1,1
7.775,1,3,1,25,1,1
153.4625,1,1,0,58,0,1
135.6333,1,1,0,35,0,0
31,0,1,0,25,1,1
0,1,3,0,25,1,1
19.5,1,2,0,41,0,1
29.7,0,1,0,37,1,1
7.75,1,3,0,18,0,0
77.9583,1,1,1,63,0,0
7.75,0,3,0,45,0,0
0,0,2,0,25,1,1
29.125,0,3,4,7,1,0
20.25,1,3,1,35,0,1
7.75,0,3,0,65,1,1
7.8542,0,3,0,28,1,1
9.5,0,3,0,16,1,1
8.05,1,3,0,19,1,1
26,0,1,0,25,1,1
8.6625,0,3,0,33,1,1
9.5,1,3,0,30,1,1
7.8958,0,3,0,22,1,1
13,1,2,0,42,1,1
7.75,1,3,0,22,0,0
78.85,1,1,0,26,0,0
91.0792,1,1,1,19,0,1
12.875,0,2,0,36,1,1
8.85,0,3,0,24,0,0
7.8958,0,3,0,24,1,1
27.7208,0,1,0,25,1,1
7.2292,0,3,0,23.5,1,1
151.55,0,1,1,2,0,0
30.5,1,1,0,25,1,1
247.5208,1,1,0,50,0,1
7.75,1,3,0,18,0,0
23.25,1,3,2,25,1,1
0,0,3,0,19,1,1
12.35,1,2,0,18,0,0
8.05,0,3,0,25,1,1
151.55,1,1,1,0.92,1,0
110.8833,1,1,0,18,0,0
108.9,1,1,1,17,0,1
24,0,2,1,30,1,1
56.9292,1,1,0,30,0,0
83.1583,1,1,0,24,0,0
262.375,1,1,2,18,0,0
26,0,2,1,26,0,1
7.8958,0,3,0,28,1,1
26.25,0,2,1,43,1,1
7.8542,1,3,0,26,0,0
26,1,2,1,24,0,1
14,0,2,0,54,1,0
164.8667,1,1,0,31,0,0
134.5,1,1,1,40,0,1
7.25,0,3,0,22,1,1
7.8958,0,3,0,27,1,1
12.35,1,2,0,30,0,0
29,1,2,1,22,0,1
69.55,0,3,8,25,1,1
135.6333,1,1,0,36,0,0
6.2375,0,3,0,61,1,1
13,1,2,0,36,0,1
20.525,1,3,1,31,0,1
57.9792,1,1,0,16,0,0
23.25,1,3,2,18,0,0
28.5,0,1,0,45.5,1,1
153.4625,0,1,0,38,1,1
18,0,3,2,16,1,1
133.65,1,1,1,33,0,1
7.8958,0,3,0,25,1,1
66.6,0,1,1,29,1,1
134.5,1,1,0,41,0,0
8.05,1,3,0,45,1,1
35.5,0,1,0,45,1,1
26,1,2,1,2,1,0
263,1,1,3,24,0,0
13,0,2,0,28,1,1
13,0,2,0,25,1,1
13,0,2,0,36,1,1
13,1,2,0,24,0,0
13,1,2,0,40,0,0
16.1,1,3,1,33,0,1
15.9,1,3,1,3,1,0
8.6625,0,3,0,42,1,1
9.225,0,3,0,23,1,1
35,0,1,0,25,1,1
7.2292,0,3,1,15,1,1
17.8,0,3,1,25,1,1
7.225,0,3,0,25,1,1
9.5,0,3,0,28,1,1
55,1,1,0,22,0,0
13,0,2,0,38,0,0
7.8792,1,3,0,18,0,0
7.8792,1,3,0,18,0,0
27.9,0,3,1,40,1,1
27.7208,0,2,1,29,1,1
14.4542,0,3,0,45,0,1
7.05,0,3,0,35,1,1
15.5,0,3,1,25,1,1
7.25,0,3,0,30,1,1
75.25,1,1,1,60,0,1
7.2292,1,3,0,33,0,1
7.75,1,3,0,18,0,0
69.3,1,1,0,24,0,0
55.4417,1,1,1,25,1,1
6.4958,0,3,1,18,1,1
8.05,0,3,0,19,1,1
135.6333,0,1,0,22,1,1
21.075,0,3,3,3,0,0
82.1708,1,1,1,33,0,1
7.25,1,3,0,22,0,0
211.5,0,1,0,27,1,1
4.0125,0,3,0,20,1,1
7.775,0,3,0,19,1,1
227.525,1,1,0,42,0,0
15.7417,1,3,0,1,0,0
7.925,0,3,0,32,1,1
52,1,1,1,35,0,1
7.8958,0,3,0,25,1,1
73.5,0,2,0,18,1,1
46.9,0,3,5,1,1,0
13,1,2,0,36,0,0
7.7292,0,3,0,25,1,1
12,1,2,0,17,0,0
120,1,1,1,36,1,1
7.7958,1,3,0,21,1,1
7.925,0,3,2,28,1,1
113.275,1,1,1,23,0,0
16.7,1,3,0,24,0,1
7.7958,0,3,0,22,1,1
7.8542,0,3,0,31,0,0
26,0,2,0,46,1,1
10.5,0,2,0,23,1,0
12.65,1,2,0,28,0,1
7.925,1,3,0,39,1,1
8.05,0,3,0,26,1,1
9.825,0,3,1,21,0,0
15.85,0,3,1,28,1,1
8.6625,0,3,0,20,0,0
21,0,2,1,34,1,1
7.75,0,3,0,51,1,1
18.75,1,2,1,3,1,0
7.775,0,3,0,21,1,1
25.4667,0,3,3,18,0,0
7.8958,0,3,0,25,1,1
6.8583,0,3,0,25,1,1
90,1,1,1,33,0,0
0,0,2,0,25,1,1
7.925,1,3,0,44,1,1
8.05,0,3,0,33,0,1
32.5,1,2,1,34,0,1
13,1,2,0,18,0,0
13,0,2,0,30,1,1
24.15,0,3,0,10,0,0
7.8958,0,3,0,25,1,1
7.7333,0,3,0,21,1,1
7.875,0,3,0,29,1,1
14.4,0,3,1,28,0,1
20.2125,0,3,1,18,1,1
7.25,0,3,0,25,1,1
26,1,2,1,28,0,1
26,1,2,0,19,0,0
7.75,0,3,0,25,1,1
8.05,1,3,0,32,1,1
26.55,1,1,0,28,1,1
16.1,1,3,1,33,0,1
26,1,2,1,42,0,1
7.125,0,3,0,17,1,1
55.9,0,1,1,50,1,1
120,1,1,1,14,0,0
34.375,0,3,2,21,0,0
18.75,1,2,2,24,0,1
263,0,1,1,64,1,1
10.5,0,2,0,31,1,1
26.25,1,2,1,45,0,1
9.5,0,3,0,20,1,1
7.775,0,3,1,25,1,1
13,1,2,0,28,0,0
8.1125,1,3,0,25,1,1
81.8583,1,1,0,4,1,0
19.5,1,2,0,13,0,0
26.55,1,1,0,34,1,1
19.2583,1,3,2,5,0,0
30.5,1,1,0,52,1,0
27.75,0,2,1,36,1,1
19.9667,0,3,1,25,1,1
27.75,0,1,0,30,1,1
89.1042,1,1,1,49,1,1
8.05,0,3,0,25,1,1
7.8958,1,3,0,29,1,1
26.55,0,1,0,65,1,1
51.8625,1,1,1,33,0,1
10.5,1,2,0,50,0,0
7.75,0,3,0,25,1,1
26.55,1,1,0,48,1,1
8.05,0,3,0,34,1,1
38.5,0,1,0,47,1,1
13,0,2,0,48,1,1
8.05,0,3,0,25,1,1
7.05,0,3,0,38,1,1
0,0,2,0,25,1,1
26.55,0,1,0,56,1,1
7.725,0,3,0,25,1,1
19.2583,1,3,2,0.75,0,0
7.25,0,3,0,25,1,1
8.6625,0,3,0,38,1,1
27.75,1,2,1,33,0,1
13.7917,1,2,0,23,0,1
9.8375,0,3,0,22,0,0
52,0,1,0,25,1,1
21,0,2,1,34,1,1
7.0458,0,3,1,29,1,1
7.5208,0,3,0,22,1,1
12.2875,1,3,0,2,0,0
46.9,0,3,5,9,1,0
0,0,2,0,25,1,1
8.05,0,3,0,50,1,1
9.5875,1,3,0,63,0,1
91.0792,1,1,1,25,1,1
25.4667,0,3,3,18,0,0
90,1,1,1,35,0,1
29.7,0,1,0,58,1,1
8.05,0,3,0,30,1,1
15.9,1,3,1,9,1,0
19.9667,0,3,1,25,1,1
7.25,0,3,0,21,1,1
30.5,0,1,0,55,1,1
49.5042,0,1,0,71,1,1
8.05,0,3,0,21,1,1
14.4583,0,3,0,25,1,1
78.2667,1,1,1,54,0,0
15.1,0,3,0,25,1,1
151.55,0,1,1,25,0,1
7.7958,0,3,0,24,1,1
8.6625,0,3,0,17,1,1
7.75,0,3,0,21,0,0
7.6292,0,3,0,18,0,0
9.5875,0,3,0,37,0,0
86.5,1,1,0,16,0,0
108.9,0,1,1,18,1,1
26,1,2,0,33,0,1
26.55,1,1,0,25,1,1
22.525,0,3,0,28,1,1
56.4958,1,3,0,26,1,1
7.75,1,3,0,29,1,1
8.05,0,3,0,25,1,1
26.2875,1,1,0,36,1,1
59.4,1,1,1,54,0,1
7.4958,0,3,0,24,1,1
34.0208,0,1,0,47,1,1
10.5,1,2,0,34,0,1
24.15,0,3,0,25,1,1
26,1,2,1,36,0,1
7.8958,0,3,0,32,1,1
93.5,1,1,0,30,0,0
7.8958,0,3,0,22,1,1
7.225,0,3,0,25,1,1
57.9792,1,1,0,44,0,1
7.2292,0,3,0,25,1,1
7.75,0,3,0,40.5,1,1
10.5,1,2,0,50,0,0
221.7792,0,1,0,25,1,1
7.925,0,3,0,39,1,1
11.5,0,2,2,23,1,1
26,1,2,1,2,0,0
7.2292,0,3,0,25,1,1
7.2292,0,3,1,17,1,1
22.3583,1,3,0,33,0,1
8.6625,0,3,0,30,0,0
26.25,1,2,0,7,0,0
26.55,0,1,0,45,1,0
106.425,1,1,0,30,0,0
14.5,0,3,0,25,1,1
49.5,1,1,0,22,0,0
71,1,1,0,36,0,0
31.275,0,3,4,9,0,0
31.275,0,3,4,11,0,0
26,1,2,1,32,1,1
106.425,0,1,1,50,1,1
26,0,1,0,64,1,1
26,1,2,1,19,0,1
13.8625,1,2,0,25,1,1
20.525,0,3,1,33,1,1
36.75,1,2,1,8,1,0
110.8833,1,1,0,17,1,1
26,0,2,0,27,1,1
7.8292,0,3,0,25,1,1
7.225,1,3,0,22,1,1
7.775,1,3,0,22,0,0
26.55,0,1,0,62,1,1
39.6,1,1,1,48,0,0
227.525,0,1,0,25,1,1
79.65,1,1,1,39,0,1
17.4,1,3,1,36,0,1
7.75,0,3,0,25,1,1
7.8958,0,3,0,40,1,1
13.5,0,2,0,28,1,1
8.05,0,3,0,25,1,1
8.05,0,3,0,18,0,0
24.15,0,3,2,24,1,1
7.8958,0,3,0,19,1,1
21.075,0,3,0,29,0,1
7.2292,0,3,0,25,1,1
7.8542,1,3,0,32,1,1
10.5,1,2,0,62,1,1
51.4792,1,1,2,53,0,1
26.3875,1,1,0,36,1,1
7.75,1,3,0,18,0,0
8.05,0,3,0,16,1,1
14.5,0,3,0,19,1,1
13,1,2,0,34,0,0
55.9,1,1,1,39,0,1
14.4583,0,3,1,33,0,1
7.925,1,3,0,32,1,1
30,1,2,1,25,0,0
110.8833,1,1,1,39,0,1
26,0,2,0,54,1,1
40.125,0,1,0,36,1,1
8.7125,0,3,0,25,1,1
79.65,1,1,0,18,0,0
15,0,2,0,47,1,1
79.2,1,1,1,60,1,1
8.05,0,3,0,22,1,1
8.05,0,3,0,25,1,1
7.125,0,3,0,35,1,1
78.2667,1,1,1,52,0,1
7.25,0,3,0,47,1,1
7.75,0,3,0,18,0,0
26,0,2,1,37,1,1
24.15,0,3,1,36,1,1
33,1,2,0,18,0,0
0,0,3,0,49,1,1
7.225,0,3,0,25,1,1
56.9292,1,1,1,49,1,0
27,1,2,2,24,0,1
7.8958,0,3,0,25,1,1
42.4,0,1,0,25,1,1
8.05,0,3,0,44,1,1
26.55,1,1,0,35,1,1
15.55,0,3,1,36,1,1
7.8958,0,3,0,30,1,1
30.5,1,1,0,27,1,1
41.5792,1,2,1,22,0,1
153.4625,1,1,0,40,0,0
31.275,0,3,1,39,0,1
7.05,0,3,0,25,1,1
15.5,1,3,1,18,0,0
7.75,0,3,0,25,1,1
8.05,0,3,0,35,1,1
65,1,2,1,24,0,0
14.4,0,3,1,34,1,1
16.1,0,3,1,26,0,1
39,1,2,2,4,0,0
10.5,0,2,0,26,1,1
14.4542,0,3,1,27,1,1
52.5542,1,1,1,42,1,1
15.7417,1,3,1,20,1,1
7.8542,0,3,0,21,1,1
16.1,0,3,0,21,1,1
32.3208,0,1,0,61,1,1
12.35,0,2,0,57,1,0
77.9583,1,1,0,21,0,0
7.8958,0,3,0,26,1,1
7.7333,0,3,0,25,1,1
30,1,1,0,80,1,1
7.0542,0,3,0,51,1,1
30.5,1,1,0,32,1,0
0,0,1,0,25,1,1
27.9,0,3,3,9,0,0
13,1,2,0,28,0,0
7.925,0,3,0,32,1,1
26.25,0,2,1,31,1,1
39.6875,0,3,0,41,0,1
16.1,0,3,1,25,1,1
7.8542,0,3,0,20,1,1
69.3,1,1,0,24,0,0
27.9,0,3,3,2,0,0
56.4958,1,3,0,25,1,1
19.2583,1,3,2,0.75,0,0
76.7292,1,1,1,48,1,1
7.8958,0,3,0,19,1,1
35.5,1,1,0,56,1,0
7.55,0,3,0,25,1,1
7.55,1,3,0,23,0,0
7.8958,0,3,0,25,1,1
23,1,2,0,18,0,0
8.4333,0,3,0,21,1,1
7.8292,1,3,0,18,0,0
6.75,0,3,0,18,0,0
73.5,0,2,2,24,1,1
7.8958,0,3,0,25,1,1
15.5,0,3,1,32,0,1
13,0,2,0,23,1,1
113.275,0,1,0,58,1,1
133.65,1,1,2,50,1,0
7.225,0,3,0,40,1,1
25.5875,0,1,0,47,1,1
7.4958,0,3,0,36,1,1
7.925,1,3,1,20,1,1
73.5,0,2,2,32,1,1
13,0,2,0,25,1,1
7.775,0,3,0,25,1,1
8.05,0,3,0,43,1,1
52,1,1,1,33,0,1
39,1,2,1,40,0,1
52,0,1,1,31,1,1
10.5,0,2,0,70,1,1
13,1,2,0,31,1,1
0,0,2,0,25,1,1
7.775,0,3,0,18,1,1
8.05,0,3,0,24.5,1,1
9.8417,1,3,0,18,0,0
46.9,0,3,1,43,0,1
512.3292,1,1,0,36,1,1
8.1375,0,3,0,18,0,0
76.7292,1,1,0,27,1,1
9.225,0,3,0,20,1,1
46.9,0,3,5,14,1,1
39,0,2,1,60,1,1
41.5792,0,2,1,25,1,1
39.6875,0,3,4,14,1,1
10.1708,0,3,0,19,1,1
7.7958,0,3,0,18,1,1
211.3375,1,1,0,15,0,0
57,1,1,1,31,1,1
13.4167,1,3,0,4,0,0
56.4958,1,3,0,25,1,1
7.225,0,3,0,25,1,1
26.55,0,1,0,60,1,0
13.5,0,2,0,52,1,1
8.05,0,3,0,44,1,1
7.7333,1,3,0,18,0,0
110.8833,0,1,1,49,1,1
7.65,0,3,0,42,1,1
227.525,1,1,1,18,0,1
26.2875,1,1,0,35,1,1
14.4542,0,3,0,18,0,0
7.7417,0,3,0,25,1,1
7.8542,0,3,1,26,1,1
26,0,2,0,39,1,1
13.5,1,2,0,45,0,1
26.2875,1,1,0,42,1,1
151.55,1,1,0,22,0,0
15.2458,1,3,1,3,1,0
49.5042,1,1,0,24,0,0
26.55,0,1,0,25,1,1
52,1,1,1,48,1,1
9.4833,0,3,0,29,1,1
13,0,2,0,52,1,1
7.65,0,3,0,19,1,1
227.525,1,1,0,38,0,0
10.5,1,2,0,27,0,0
15.5,0,3,0,25,1,1
7.775,0,3,0,33,1,1
33,1,2,0,6,0,0
7.0542,0,3,1,17,1,1
13,0,2,0,34,1,1
13,0,2,0,50,1,1
53.1,1,1,1,27,1,1
8.6625,0,3,0,20,1,1
21,1,2,3,30,0,1
7.7375,1,3,0,18,0,0
26,0,2,1,25,1,1
7.925,0,3,1,25,0,0
211.3375,1,1,0,29,0,0
18.7875,0,3,0,11,1,1
0,0,2,0,25,1,1
13,0,2,0,23,1,1
13,0,2,0,23,1,1
16.1,0,3,0,28.5,1,1
34.375,0,3,1,48,0,1
512.3292,1,1,0,35,1,1
7.8958,0,3,0,25,1,1
7.8958,0,3,0,25,1,1
30,1,1,0,25,1,1
78.85,0,1,1,36,1,1
262.375,1,1,2,21,0,0
16.1,0,3,1,24,1,1
7.925,1,3,0,31,1,1
71,0,1,1,70,1,0
20.25,0,3,1,16,1,1
13,1,2,0,30,0,0
53.1,0,1,1,19,1,1
7.75,0,3,0,31,1,1
23,1,2,1,4,0,0
12.475,1,3,0,6,1,0
9.5,0,3,0,33,1,1
7.8958,0,3,0,23,1,1
65,1,2,1,48,0,1
14.5,1,2,1,0.67,1,0
7.7958,0,3,0,28,1,1
11.5,0,2,0,18,1,1
8.05,0,3,0,34,1,1
86.5,1,1,0,33,0,0
14.5,0,3,0,25,1,1
7.125,0,3,0,41,1,1
7.2292,1,3,0,20,1,1
120,1,1,1,36,0,1
7.775,0,3,0,16,1,1
77.9583,1,1,1,51,0,1
39.6,0,1,0,44,1,0
7.75,0,3,0,30.5,0,0
24.15,0,3,1,25,1,1
8.3625,0,3,0,32,1,1
9.5,0,3,0,24,1,1
7.8542,0,3,0,48,1,1
10.5,0,2,0,57,0,1
7.225,0,3,0,25,1,1
23,1,2,1,54,0,1
7.75,0,3,0,18,1,1
7.75,0,3,0,25,1,1
12.475,1,3,0,5,0,0
7.7375,0,3,0,25,1,1
211.3375,1,1,0,43,0,1
7.2292,1,3,0,13,0,0
57,1,1,1,17,0,1
30,0,1,0,29,1,1
23.45,0,3,1,25,1,1
7.05,0,3,0,25,1,1
7.25,0,3,0,25,1,1
7.4958,1,3,0,18,0,0
29.125,0,3,4,8,1,0
20.575,1,3,1,1,1,0
79.2,0,1,0,46,1,1
7.75,0,3,0,25,1,1
26,0,2,0,16,1,1
69.55,0,3,8,18,0,0
30.6958,0,1,0,25,1,1
7.8958,0,3,0,25,1,1
13,0,2,0,39,1,1
25.9292,1,1,0,49,1,0
8.6833,1,3,0,31,0,1
7.2292,0,3,0,30,1,1
24.15,0,3,1,30,0,1
13,0,2,0,34,1,1
26.25,1,2,1,31,0,1
120,1,1,1,11,1,0
8.5167,1,3,0,0.42,1,0
6.975,1,3,0,27,1,1
7.775,0,3,0,31,1,1
0,0,1,0,39,1,1
7.775,0,3,0,18,0,0
13,0,2,0,39,1,1
53.1,1,1,1,33,0,1
7.8875,0,3,0,26,1,1
24.15,0,3,0,39,1,1
10.5,0,2,0,35,1,1
31.275,0,3,4,6,0,0
8.05,0,3,0,30.5,1,1
0,0,1,0,25,1,1
7.925,0,3,0,23,0,0
37.0042,0,2,1,31,1,1
6.45,0,3,0,43,1,1
27.9,0,3,3,10,1,0
93.5,1,1,1,52,0,1
8.6625,1,3,0,27,1,1
0,0,1,0,38,1,0
12.475,1,3,0,27,0,1
39.6875,0,3,4,2,1,0
6.95,0,3,0,25,1,1
56.4958,0,3,0,25,1,1
37.0042,1,2,0,1,1,0
7.75,1,3,0,25,1,1
80,1,1,0,62,0,1
14.4542,1,3,1,15,0,1
18.75,1,2,1,0.83,1,0
7.2292,0,3,0,25,1,1
7.8542,0,3,0,23,1,1
8.3,0,3,0,18,1,1
83.1583,1,1,1,39,0,0
8.6625,0,3,0,21,1,1
8.05,0,3,0,25,1,1
56.4958,1,3,0,32,1,1
29.7,1,1,0,25,1,1
7.925,0,3,0,20,1,1
10.5,0,2,0,16,1,1
31,1,1,0,30,0,0
6.4375,0,3,0,34.5,1,1
8.6625,0,3,0,17,1,1
7.55,0,3,0,42,1,1
69.55,0,3,8,25,1,1
7.8958,0,3,0,35,1,1
33,0,2,0,28,1,0
89.1042,1,1,1,33,0,1
31.275,0,3,4,4,1,0
7.775,0,3,0,74,1,1
15.2458,0,3,1,9,0,0
39.4,1,1,0,16,0,0
26,0,2,1,44,0,1
9.35,1,3,0,18,0,1
164.8667,1,1,1,45,0,1
26.55,1,1,0,51,1,1
